X,Y,y1,y2,y3,y4,y5,y6,y7,y8
2791.65,3824.43,2793.56,3846.75,2795.48,3827.51,2797.39,3835.34,2799.3,3842.76
2801.22,3855.77,2803.13,3870.94,2805.04,3856.77,2806.96,3915.03,,
2808.87,3922.78,2810.78,3948.42,2812.7,3981.64,2814.61,3984.52,2816.52,4035.75
2818.44,4088.53,2820.35,4100.62,2822.26,4148.23,2824.18,4210.31,2826.09,4236.5
2828,4331.53,2829.92,4437.78,2831.83,4514.5,2833.74,4654.4,2835.66,4796.93
2837.57,5057.14,2839.48,5350.81,2841.4,5753.57,2843.31,6404.22,2845.22,7253.81
2847.14,8336.48,2849.05,9847.88,2850.96,11378.1,2852.88,12764.1,,
2854.79,14294.8,2856.7,15262.2,2858.62,16106.8,2860.53,16536,2862.44,16440.6
2864.36,16352.2,2866.27,15863.3,2868.18,15309.7,2870.1,14902.9,2872.01,14635.3
2873.92,14587.6,2875.84,14554.5,2877.75,14774.5,2879.66,15410.6,,
2881.58,16003.7,2883.49,16965.2,2885.4,17654,2887.32,18410.7,2889.23,19119.2
